Sample Site Name,Actual X,Actual Y,Actual Z
DD20TRK001,689335.98,1738388.65,216.98
DD20TRK001,689335.98,1738388.65,-29.02
DD20TRK002,689618.36,1738105.28,208.23
DD20TRK002,689618.36,1738105.28,92.23
DD20TRK003,688620.84,1737391.40,205.38
DD20TRK003,688620.84,1737391.40,45.38
DD20TRK004,689033.84,1738119.81,218.09
DD20TRK004,689033.84,1738119.81,16.79
DD20TRK005,689895.04,1737822.08,188.24
DD20TRK005,689895.04,1737822.08,28.24
DD20TRK006,689050.93,1738675.82,212.62
DD20TRK006,689050.93,1738675.82,12.62
DD20TRK007,690460.71,1737261.90,209.59
DD20TRK007,690460.71,1737261.90,76.59
DD20TRK008,689896.39,1737266.36,224.28
DD20TRK008,689896.39,1737266.36,24.28
DD20TRK009,691593.59,1737817.84,208.38
DD20TRK009,691593.59,1737817.84,21.88
DD20TRK010,691590.37,1737812.78,208.38
DD20TRK010,691590.37,1737812.78,-10.72
DD20TRK011,689754.65,1737684.05,200.24
DD20TRK011,689772.32,1737701.72,156.93
DD20TRK011,689789.75,1737718.90,113.33
DD20TRK011,689806.25,1737736.97,69.73
DD20TRK011,689823.58,1737754.67,26.30
DD20TRK011,689841.67,1737772.89,-16.61
DD20TRK011,689860.62,1737791.20,-59.10
DD20TRK011,689860.66,1737791.23,-59.19
DD20TRK012,689471.38,1737966.82,210.01
DD20TRK012,689489.05,1737984.50,166.70
DD20TRK012,689506.07,1738001.76,122.97
DD20TRK012,689523.69,1738018.41,79.24
DD20TRK012,689541.26,1738035.44,35.64
DD20TRK012,689559.89,1738053.68,-12.79
DD20TRK012,689559.89,1738053.68,-12.79
DD20TRK013,689613.90,1737823.86,211.35
DD20TRK013,689631.57,1737841.53,168.05
DD20TRK013,689648.03,1737858.16,123.86
DD20TRK013,689664.24,1737874.71,79.55
DD20TRK013,689681.09,1737891.16,35.45
DD20TRK013,689698.25,1737907.74,-8.49
DD20TRK013,689701.33,1737910.71,-16.41
DD20TRK014,689188.43,1738248.42,255.25
DD20TRK014,689206.11,1738266.09,211.95
DD20TRK014,689223.73,1738284.03,168.73
DD20TRK014,689240.78,1738302.12,125.35
DD20TRK014,689258.54,1738321.17,82.67
DD20TRK014,689276.98,1738340.20,40.27
DD20TRK014,689294.13,1738359.51,-2.55
DD20TRK014,689294.13,1738359.51,-2.55
DD20TRK015,689046.11,1738390.37,247.19
DD20TRK015,689063.78,1738408.04,203.89
DD20TRK015,689081.18,1738424.15,159.86
DD20TRK015,689097.95,1738440.46,115.68
DD20TRK015,689114.66,1738456.94,71.53
DD20TRK015,689131.27,1738473.20,27.26
DD20TRK015,689139.42,1738481.68,4.86
DD20TRK016,689181.98,1737678.97,193.43
DD20TRK016,689164.31,1737661.29,150.12
DD20TRK016,689148.04,1737643.73,106.23
DD20TRK016,689145.59,1737640.88,99.16
DD20TRK017,689330.47,1738107.30,237.04
DD20TRK017,689348.14,1738124.98,193.74
DD20TRK017,689365.05,1738142.24,149.97
DD20TRK017,689382.52,1738158.82,106.15
DD20TRK017,689416.87,1738193.04,18.69
DD20TRK017,689427.31,1738203.94,-7.24
DD20TRK017,689427.31,1738203.94,-7.24
DD20TRK018,689181.98,1737678.97,193.43
DD20TRK018,689164.62,1737660.98,150.12
DD20TRK018,689147.21,1737643.46,106.65
DD20TRK018,689130.29,1737625.68,63.09
DD20TRK018,689113.30,1737607.34,19.79
DD20TRK018,689113.30,1737607.34,19.79
DD20TRK019,689895.95,1737544.52,217.23
DD20TRK019,689913.63,1737562.20,173.93
DD20TRK019,689930.98,1737579.67,130.41
DD20TRK019,689947.78,1737597.13,86.68
DD20TRK019,689964.36,1737614.29,42.74
DD20TRK019,689965.00,1737614.99,40.98
DD20TRK020,690036.87,1737400.14,189.39
DD20TRK020,690054.55,1737417.81,146.09
DD20TRK020,690072.14,1737435.04,102.57
DD20TRK020,690089.00,1737452.25,58.76
DD20TRK020,690105.87,1737469.12,14.81
DD20TRK020,690123.27,1737486.64,-28.66
DD20TRK020,690124.54,1737488.11,-32.16
DD20TRK021,691593.37,1737813.53,208.20
DD20TRK021,691611.05,1737831.21,164.90
DD20TRK021,691627.76,1737849.19,121.34
DD20TRK021,691632.50,1737854.59,108.74
DD20TRK022,691451.43,1737680.85,245.93
DD20TRK022,691469.11,1737698.52,202.63
DD20TRK022,691486.46,1737715.34,158.85
DD20TRK022,691504.70,1737732.77,115.68
DD20TRK022,691522.96,1737750.28,72.56
DD20TRK022,691541.70,1737767.94,29.70
DD20TRK022,691560.45,1737785.60,-13.16
DD20TRK022,691560.45,1737785.60,-13.16
DD20TRK023,689261.11,1738179.45,266.92
DD20TRK023,689326.87,1738245.21,105.84
DD20TRK024,689115.12,1738601.85,216.83
DD20TRK024,689132.80,1738619.53,173.53
DD20TRK024,689151.56,1738636.18,130.28
DD20TRK024,689159.35,1738642.62,113.02
DD20TRK025,688976.62,1738602.90,225.90
DD20TRK025,688988.71,1738614.99,178.91
DD20TRK025,689000.86,1738626.72,131.85
DD20TRK025,689013.10,1738638.58,84.84
DD20TRK025,689029.35,1738656.13,17.68
DD20TRK026,689258.52,1738185.28,267.55
DD20TRK026,689328.52,1738255.28,96.08
DD20TRK027,689119.97,1738746.33,213.40
DD20TRK027,689137.65,1738764.01,170.10
DD20TRK027,689157.63,1738782.52,128.17
DD20TRK027,689164.76,1738789.57,112.62
DD20TRK028,689049.36,1738531.79,219.23
DD20TRK028,689081.71,1738564.14,139.99
DD20TRK029,688975.73,1738881.09,201.08
DD20TRK029,688958.05,1738863.41,157.78
DD20TRK029,688940.31,1738845.35,114.66
DD20TRK029,688922.55,1738827.59,71.42
DD20TRK029,688913.38,1738818.70,49.93
DD20TRK029,688911.58,1738816.92,45.62
DD20TRK030,689045.95,1738813.67,212.27
DD20TRK030,689028.28,1738795.99,168.97
DD20TRK030,689010.29,1738778.17,125.85
DD20TRK030,688992.48,1738760.47,82.61
DD20TRK030,688992.48,1738760.47,82.61
DD20TRK031,689400.36,1738320.69,246.83
DD20TRK031,689418.04,1738338.37,203.52
DD20TRK031,689436.17,1738356.14,160.45
DD20TRK031,689454.63,1738374.93,117.95
DD20TRK031,689455.69,1738376.05,115.38
DD20TRK032,688973.07,1738742.07,204.38
DD20TRK032,688955.39,1738724.39,161.08
DD20TRK032,688936.88,1738707.19,117.94
DD20TRK032,688918.71,1738689.31,74.92
DD20TRK032,688904.56,1738674.89,40.40
DD20TRK032,688903.14,1738673.46,36.95
DD20TRK033,689192.68,1738673.22,219.46
DD20TRK033,689210.35,1738690.89,176.16
DD20TRK033,689228.20,1738709.83,133.47
DD20TRK033,689242.56,1738725.10,99.40
DD20TRK033,689243.46,1738726.06,97.27
DD20TRK034,689115.09,1738883.22,203.24
DD20TRK034,689097.41,1738865.54,159.93
